2016-03-13 10:47:51+0300 [-] Log opened.
2016-03-13 11:36:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:36:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:36:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:36:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:37:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:37:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:37:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:37:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:37:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:37:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:38:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:38:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:38:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:38:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:38:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:38:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:39:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:39:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:39:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:39:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:39:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:39:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:40:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:40:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:40:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:40:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:40:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:40:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:41:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:41:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:41:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:41:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:41:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:41:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:42:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:42:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:42:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:42:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:42:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:42:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:43:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:43:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:43:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:43:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:43:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:43:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:44:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:44:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:44:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:44:36+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:44:46+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:44:56+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:45:06+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:45:16+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:45:26+0300 [-] Received SIGINT, shutting down.
2016-03-13 11:45:36+0300 [-] Received SIGINT, shutting down.
